time_s,fid_source_v,adc_differential_v
0.0165314,9.26764243e-07,-0.00021425999999991063
0.0165364,9.48151839e-07,-0.00020037999999988898
0.0165414,9.65299941e-07,-0.00018570999999978355
0.0165464,9.78131921e-07,-0.0001703200000000571
0.0165514,9.86590453e-07,-0.0001542799999998401
0.0165564,9.90637764e-07,-0.00013766999999997864
0.0165614,9.90255805e-07,-0.00012055000000010807
0.0165664,9.85446329e-07,-0.0001030100000001255
0.0165714,9.76230887e-07,-8.511000000011038e-05
0.0165764,9.62650729e-07,-6.694999999989903e-05
0.0165814,9.44766619e-07,-4.8599999999954235e-05
0.0165864,9.22658562e-07,-3.013999999978978e-05
0.0165914,8.96425451e-07,-1.1659999999746873e-05
0.0165964,8.6618462e-07,6.760000000216593e-06
0.0166014,8.3207132e-07,2.5040000000142726e-05
0.0166064,7.94238116e-07,4.309000000013441e-05
0.0166114,7.52854201e-07,6.084000000017298e-05
0.0166164,7.08104646e-07,7.821000000030054e-05
0.0166214,6.60189564e-07,9.512000000011511e-05
0.0166264,6.09323221e-07,0.00011148000000016367
0.0166314,5.55733076e-07,0.000127240000000306
0.0166364,4.99658764e-07,0.0001423200000001401
0.0166414,4.41351025e-07,0.00015665000000009144
0.0166464,3.8107058e-07,0.00017017000000008053
0.0166514,3.1908697e-07,0.00018281000000008873
0.0166564,2.55677347e-07,0.00019452999999991505
0.0166614,1.91125235e-07,0.0002052599999999849
0.0166664,1.25719265e-07,0.00021497000000003652
0.0166714,5.97518823e-08,0.00022359999999999047
0.0166764,-6.48196226e-09,0.00023112000000002908
0.0166814,-7.26861282e-08,0.00023749999999989058
0.0166864,-1.38564611e-07,0.00024270000000026215
0.0166914,-2.03822866e-07,0.0002467099999998723
0.0166964,-2.68169125e-07,0.00024950000000023564
0.0167014,-3.31315698e-07,0.00025106000000008066
0.0167064,-3.92980266e-07,0.00025139000000029554
0.0167114,-4.52887135e-07,0.0002504800000000529
0.0167164,-5.10768475e-07,0.0002483500000001193
0.0167214,-5.66365516e-07,0.0002449900000001115
0.0167264,-6.19429702e-07,0.00024041999999990793
0.0167314,-6.69723805e-07,0.0002346600000002752
0.0167364,-7.17022985e-07,0.00022775000000008205
0.0167414,-7.61115795e-07,0.00021970000000015588
0.0167464,-8.01805126e-07,0.00021056000000019282
0.0167514,-8.38909087e-07,0.00020036999999994975
0.0167564,-8.72261822e-07,0.00018917000000007178
0.0167614,-9.01714247e-07,0.00017701000000025502
0.0167664,-9.27134719e-07,0.00016395000000013482
0.0167714,-9.48409623e-07,0.00015005000000023472
0.0167764,-9.65443881e-07,0.00013536000000025084
0.0167814,-9.78161376e-07,0.00011995000000020184
0.0167864,-9.86505292e-07,0.00010390000000004562
0.0167914,-9.90438369e-07,8.727000000030571e-05
0.0167964,-9.89943068e-07,7.014000000005183e-05
0.0168014,-9.8502165e-07,5.258000000019081e-05
0.0168064,-9.75696166e-07,3.468000000017568e-05
0.0168114,-9.62008358e-07,1.650000000008589e-05
0.0168164,-9.4401947e-07,-1.849999999858909e-06
0.0168214,-9.21809978e-07,-2.0310000000023365e-05
0.0168264,-8.95479227e-07,-3.88000000000055e-05
0.0168314,-8.65144988e-07,-5.721999999996896e-05
0.0168364,-8.30942928e-07,-7.548999999995587e-05
0.0168414,-7.93026011e-07,-9.353999999994755e-05
0.0168464,-7.51563804e-07,-0.00011128999999998612
0.0168514,-7.06741726e-07,-0.00012863999999979114
0.0168564,-6.58760216e-07,-0.00014554000000011058
0.0168614,-6.07833836e-07,-0.00016189999999971505
0.0168664,-5.54190315e-07,-0.00017763999999997893
0.0168714,-4.98069525e-07,-0.0001926999999999346
0.0168764,-4.39722413e-07,-0.00020701000000000747
0.0168814,-3.79409878e-07,-0.0002205100000001181
0.0168864,-3.17401603e-07,-0.000233139999999743
0.0168914,-2.53974851e-07,-0.00024482999999975164
0.0168964,-1.89413222e-07,-0.00025553999999994303
0.0169014,-1.2400539e-07,-0.0002652199999997329
0.0169064,-5.80438079e-08,-0.0002738299999998084
0.0169114,8.17659901e-09,-0.0002813200000000293
0.0169164,7.43597506e-08,-0.00028767000000007314
0.0169214,1.40209737e-07,-0.00029283999999973886
0.0169264,2.0543214e-07,-0.00029681999999997544
0.0169314,2.69735351e-07,-0.000299580000000077
0.0169364,3.32831875e-07,-0.00030111000000010435
0.0169414,3.94439614e-07,-0.00030141000000005747
0.0169464,4.54283132e-07,-0.00030046999999999713
0.0169514,5.12094879e-07,-0.00029829999999986256
0.0169564,5.67616397e-07,-0.0002949100000000371
0.0169614,6.20599469e-07,-0.00029031000000001583
0.0169664,6.70807228e-07,-0.00028453000000006057
0.0169714,7.18015221e-07,-0.00027759000000004974
0.0169764,7.62012408e-07,-0.0002695099999998618
0.0169814,8.02602108e-07,-0.0002603500000000203
0.0169864,8.39602876e-07,-0.00025012999999995955
0.0169914,8.72849318e-07,-0.0002388999999998198
0.0169964,9.02192824e-07,-0.0002267200000001246
0.0170014,9.27502238e-07,-0.00021362999999974264
0.0170064,9.48664442e-07,-0.00019970999999996408
0.0170114,9.65584862e-07,-0.00018500000000010175
0.0170164,9.7818789e-07,-0.00016956999999973021
