frequency_hz,gain_db,phase_deg
164.437172,40.7546999,-31.28796233581801
164.816239,40.792317,-31.35684028527232
165.19618,40.8299241,-31.42585637485104
165.576996,40.8675212,-31.495010776441507
165.958691,40.9051083,-31.56430377652261
166.341265,40.9426853,-31.633735489685918
166.724721,40.9802522,-31.703306145114546
167.109061,41.0178091,-31.773015914695833
167.494288,41.0553557,-31.84286502761289
167.880402,41.0928922,-31.91285359845729
168.267406,41.1304184,-31.98298197100369
168.655303,41.1679343,-32.05325014525211
169.044093,41.2054399,-32.12365846497722
169.43378,41.2429352,-32.19420710206636
169.824365,41.2804201,-32.264896171111076
170.215851,41.3178945,-32.3357259012945
170.608239,41.3553584,-32.406696521799745
171.001532,41.3928119,-32.47780820451416
171.395731,41.4302548,-32.549061121325074
171.790839,41.4676871,-32.620455501415606
172.186857,41.5051088,-32.691991516673085
172.583789,41.5425198,-32.76366933898486
172.981636,41.5799201,-32.83548919753405
173.3804,41.6173097,-32.907451264208
173.780083,41.6546885,-32.97955571089403
174.180687,41.6920565,-33.051802709479496
174.582215,41.7294136,-33.12419254644328
174.984669,41.7667598,-33.19672533637696
175.38805,41.8040951,-33.26940125116785
175.792361,41.8414194,-33.342220519999096
176.197605,41.8787326,-33.41518331475801
176.603782,41.9160348,-33.48828986462773
177.010896,41.9533259,-33.561540341495586
177.418948,41.9906059,-33.634934859953134
177.827941,42.0278747,-33.708473649183496
178.237877,42.0651322,-33.782156995665574
178.648757,42.1023785,-33.85598495669514
179.060585,42.1396135,-33.929957704159534
179.473363,42.1768372,-34.00407558183344
179.887092,42.2140495,-34.07833858971684
180.301774,42.2512503,-34.15274707158444
180.717413,42.2884397,-34.227301084732
181.134009,42.3256175,-34.302000915638416
181.551566,42.3627839,-34.37684667889525
181.970086,42.3999386,-34.45183860368562
182.38957,42.4370817,-34.52697686189688
182.810022,42.4742131,-34.60226162541634
183.231442,42.5113328,-34.67769306613137
183.653834,42.5484408,-34.75327141322505
184.0772,42.5855369,-34.82899678128898
184.501542,42.6226212,-34.90486945680203
184.926862,42.6596936,-34.980889497059984
185.353162,42.6967542,-35.05705713124597
185.780446,42.7338027,-35.13337258854309
186.208714,42.7708392,-35.2098360408387
186.637969,42.8078637,-35.28644760272436
187.068214,42.8448761,-35.363207503383165
187.499451,42.8818763,-35.440115857406695
187.931682,42.9188644,-35.517172951273835
188.364909,42.9558402,-35.59437889957616
188.799135,42.9928038,-35.67173393149677
189.234362,43.0297551,-35.74923816162723
189.670592,43.066694,-35.826891761854895
190.107828,43.1036205,-35.90469496136285
190.546072,43.1405346,-35.98264793203846
190.985326,43.1774362,-36.06075078847328
191.425593,43.2143252,-36.139003817146204
191.866874,43.2512018,-36.21740707535301
192.309173,43.2880656,-36.29596079227681
192.752491,43.3249169,-36.37466519710074
193.196832,43.3617554,-36.453520347120566
193.642196,43.3985812,-36.53252652881518
194.088588,43.4353942,-36.61168385677615
194.536008,43.4721944,-36.69099250289083
194.98446,43.5089817,-36.77045263904653
195.433946,43.545756,-36.850064494426384
195.884467,43.5825174,-36.929828126326164
196.336028,43.6192658,-37.00974382122478
196.788629,43.6560012,-37.08981169371378
197.242274,43.6927234,-37.1700319156805
197.696964,43.7294325,-37.25040471630807
198.152703,43.7661284,-37.33093015289225
198.609492,43.8028111,-37.411608511911965
199.067334,43.8394804,-37.49243985066297
199.526231,43.8761365,-37.573424455624185
199.986187,43.9127792,-37.65456238409136
200.447203,43.9494085,-37.73585386524765
200.909281,43.9860243,-37.817299070980354
201.372425,44.0226266,-37.89889811588107
201.836636,44.0592153,-37.98065122913288
202.301918,44.0957905,-38.06255852532736
202.768272,44.132352,-38.144620233647636
203.235701,44.1688998,-38.22683641138948
203.704208,44.2054339,-38.30920734503179
204.173794,44.2419542,-38.391733091870336
204.644464,44.2784606,-38.474413881088246
205.116218,44.3149532,-38.55724982727708
205.58906,44.3514319,-38.640241159619954
206.062991,44.3878966,-38.723387992708425
206.538016,44.4243472,-38.80669049842984
207.014135,44.4607839,-38.89014884867152
207.491352,44.4972064,-38.97376315802504
207.969669,44.5336147,-39.05753359837773
208.449088,44.5700089,-39.14146039891271
208.929613,44.6063888,-39.22554361692577
209.411246,44.6427544,-39.309783481600014
209.893988,44.6791056,-39.394180107527006
210.377844,44.7154425,-39.47873366659408
210.862815,44.7517649,-39.56344433068858
211.348904,44.7880729,-39.64831221440207
211.836114,44.8243663,-39.73333754691765
212.324446,44.8606451,-39.8185204428269
212.813905,44.8969093,-39.90386101672137
213.304491,44.9331588,-39.9893594404884
213.796209,44.9693936,-40.07501588601533
214.28906,45.0056136,-40.16083052518949
214.783047,45.0418188,-40.24680341530666
215.278173,45.0780091,-40.332934842845745
215.774441,45.1141845,-40.41922486510253
216.271852,45.1503449,-40.505673653964344
216.77041,45.1864904,-40.59228138131852
217.270118,45.2226207,-40.679048161756626
217.770977,45.258736,-40.76597410987022
218.272991,45.2948361,-40.85305945484242
218.776162,45.3309209,-40.940304311264796
219.280494,45.3669906,-41.027708851024656
219.785987,45.4030449,-41.11527313141781
220.292646,45.4390838,-41.20299738162736
220.800473,45.4751074,-41.29088171624487
221.309471,45.5111155,-41.378926307157684
221.819642,45.5471081,-41.46713126895735
222.330989,45.5830851,-41.55549671623544
222.843515,45.6190466,-41.64402282087927
223.357222,45.6549923,-41.7327097547762
223.872114,45.6909224,-41.82155757522201
224.388192,45.7268368,-41.9105665113998
224.905461,45.7627353,-41.99973667790114
225.423921,45.798618,-42.08906813202181
225.943577,45.8344848,-42.178561160240704
226.464431,45.8703356,-42.26821576255784
226.986485,45.9061704,-42.35803216815631
227.509743,45.9419892,-42.4480104343319
228.034207,45.9777919,-42.53815079026775
228.55988,46.0135785,-42.62845329325961
229.086765,46.0493488,-42.71891811519483
229.614865,46.0851029,-42.80954537066497
230.144182,46.1208407,-42.900335174261585
230.674719,46.1565621,-42.991287697872025
231.206479,46.1922671,-43.08240305608784
231.739465,46.2279557,-43.17368136350058
232.27368,46.2636278,-43.265122791997605
232.809126,46.2992833,-43.35672739887468
233.345806,46.3349222,-43.44849541331493
233.883724,46.3705445,-43.54042689261413
234.422882,46.4061501,-43.632521951363834
234.963282,46.4417389,-43.724780761451385
235.504928,46.4773108,-43.81720343746835
236.047823,46.512866,-43.90979009400628
236.59197,46.5484042,-44.00254084565674
237.137371,46.5839255,-44.09545580701128
237.684029,46.6194297,-44.18853514995725
238.231947,46.6549169,-44.281778989086185
238.781128,46.690387,-44.375187381693884
239.331576,46.7258399,-44.468760499667695
239.883292,46.7612755,-44.562498457599155
240.43628,46.796694,-44.65640137007984
240.990543,46.832095,-44.750469351701305
